,Model,RMSE,MAE,R²,MAPE(%),Pipeline
0,Stacking Ensemble,5.443890513923594,3.4463639926951157,0.9865533000826148,9.819669888250106,A — Explanatory (2008–2023)
1,Ridge Regression,5.563907903777484,4.401627944220506,0.985953865776981,18.54632899663272,A — Explanatory (2008–2023)
2,Lasso Regression,5.764288499143722,4.2663995216619375,0.9849239223239292,14.950354041146563,A — Explanatory (2008–2023)
3,Gradient Boosting,8.39987901137928,4.431933656496413,0.9679857737345969,9.199947700052242,A — Explanatory (2008–2023)
4,Random Forest,8.915533202649566,4.621594520257386,0.9639345303427562,11.418835156069724,A — Explanatory (2008–2023)
5,"SARIMAX(1,0,1)",55.87352036380942,43.84974529882052,-0.4164753441212661,329.31720524358485,A — Explanatory (2008–2023)
6,Stacking Ensemble,44.480704784226596,40.327522834974836,-0.014715962696902896,429.07379545217896,B — Predictive (2024–2026 test)
7,Lasso Regression,46.26462574198318,41.98556266724264,-0.09773946828707225,543.926431930874,B — Predictive (2024–2026 test)
8,Ridge Regression,46.794736187916214,42.26251543773646,-0.12303988097279084,542.8359427851083,B — Predictive (2024–2026 test)
9,Random Forest,47.89530237213013,42.78090536323866,-0.1764866714548774,507.27758852482623,B — Predictive (2024–2026 test)
10,Gradient Boosting,55.8909522890896,47.05473300348645,-0.6020799721392565,614.4409831556386,B — Predictive (2024–2026 test)
